 Element: Xe
 Info: 8s,8p,7d,4f
 Maximum L = 10
 No. of velocities = 100
------------------------------------

v/c            P
1.0000e-05     2.5000e-12
3.7170e-05     3.4540e-11
6.4340e-05     1.0348e-10
9.1520e-05     2.0937e-10
1.1870e-04     3.5216e-10
1.4590e-04     5.3197e-10
1.7300e-04     7.4783e-10
2.0020e-04     1.0013e-09
2.2740e-04     1.2916e-09
2.5450e-04     1.6173e-09
2.8170e-04     1.9809e-09
3.0890e-04     2.3811e-09
3.3610e-04     2.8178e-09
3.6320e-04     3.2891e-09
3.9040e-04     3.7983e-09
4.1760e-04     4.3436e-09
4.4470e-04     4.9227e-09
4.7190e-04     5.5396e-09
4.9910e-04     6.1921e-09
5.2630e-04     6.8797e-09
5.5340e-04     7.5997e-09
5.8060e-04     8.3570e-09
6.0780e-04     9.1485e-09
6.3490e-04     9.9710e-09
6.6210e-04     1.0830e-08
6.8930e-04     1.1722e-08
7.1650e-04     1.2647e-08
7.4360e-04     1.3600e-08
7.7080e-04     1.4588e-08
7.9800e-04     1.5606e-08
8.2520e-04     1.6655e-08
8.5230e-04     1.7729e-08
8.7950e-04     1.8836e-08
9.0670e-04     1.9971e-08
9.3380e-04     2.1128e-08
9.6100e-04     2.2315e-08
9.8820e-04     2.3527e-08
1.0150e-03     2.4745e-08
1.0430e-03     2.6041e-08
1.0700e-03     2.7312e-08
1.0970e-03     2.8603e-08
1.1240e-03     2.9913e-08
1.1510e-03     3.1241e-08
1.1780e-03     3.2585e-08
1.2060e-03     3.3994e-08
1.2330e-03     3.5367e-08
1.2600e-03     3.6751e-08
1.2870e-03     3.8146e-08
1.3140e-03     3.9550e-08
1.3410e-03     4.0961e-08
1.3690e-03     4.2430e-08
1.3960e-03     4.3850e-08
1.4230e-03     4.5273e-08
1.4500e-03     4.6696e-08
1.4770e-03     4.8118e-08
1.5040e-03     4.9536e-08
1.5320e-03     5.1002e-08
1.5590e-03     5.2409e-08
1.5860e-03     5.3807e-08
1.6130e-03     5.5195e-08
1.6400e-03     5.6570e-08
1.6670e-03     5.7932e-08
1.6950e-03     5.9327e-08
1.7220e-03     6.0655e-08
1.7490e-03     6.1963e-08
1.7760e-03     6.3250e-08
1.8030e-03     6.4513e-08
1.8310e-03     6.5798e-08
1.8580e-03     6.7010e-08
1.8850e-03     6.8194e-08
1.9120e-03     6.9348e-08
1.9390e-03     7.0470e-08
1.9660e-03     7.1561e-08
1.9940e-03     7.2655e-08
2.0210e-03     7.3674e-08
2.0480e-03     7.4655e-08
2.0750e-03     7.5599e-08
2.1020e-03     7.6503e-08
2.1290e-03     7.7366e-08
2.1570e-03     7.8216e-08
2.1840e-03     7.8993e-08
2.2110e-03     7.9725e-08
2.2380e-03     8.0413e-08
2.2650e-03     8.1055e-08
2.2920e-03     8.1651e-08
2.3200e-03     8.2219e-08
2.3470e-03     8.2719e-08
2.3740e-03     8.3170e-08
2.4010e-03     8.3573e-08
2.4280e-03     8.3926e-08
2.4550e-03     8.4231e-08
2.4830e-03     8.4495e-08
2.5100e-03     8.4699e-08
2.5370e-03     8.4854e-08
2.5640e-03     8.4959e-08
2.5910e-03     8.5016e-08
2.6180e-03     8.5023e-08
2.6460e-03     8.4979e-08
2.6730e-03     8.4888e-08
2.7000e-03     8.4749e-08
